instance,version,build,date
prod,2.28,95ec6a5,14/11/2018
prod,2.28,7542585,29/11/2018
prod_indiv,2.28,7542585,05/07/2019
prod,2.30,ce9c6db,12/09/2019
prod_indiv,2.30,5b54a72,04/04/2020
preprod-cont,2.34.1,6024645,01/10/2020
preprod-cont,2.34.1-SNAPSHOT,cf7a326,05/10/2020
preprod-cont,2.34.2-SNAPSHOT,9bee238,01/11/2020
preprod-cont,2.34.3-SNAPSHOT,0dcc243,14/12/2020
preprod-cont,2.30,5b54a72,26/01/2021
preprod,2.34.3-SNAPSHOT,0dcc243,06/02/2021
preprod,2.30,5b54a72,15/02/2021
preprod-cont,2.35.1-SNAPSHOT,a58fc43,13/03/2021
dev-cont,2.35.1-SNAPSHOT,a58fc43,13/03/2021
preprod,2.34.3-SNAPSHOT,0dcc243,20/03/2021
preprod,2.34.4,aff07fb,27/03/2021
dev-cont,2.35.3,3492688,10/04/2021
preprod-cont,2.35.3,3492688,24/05/2021
dev-cont,2.36.0,ca2700f,29/05/2021
preprod-cont,2.36.0,ca2700f,31/05/2021
